iron_conc,silica_conc
65.36,1.87
65.13,2.44
64.56,2.98
62.88,5.03
62.13,4.585977011494253
63.12,4.14
64.19,2.34
64.73,1.5900000000000003
64.71,1.9
64.26,2.25
64.7,1.99
64.75,2.28
64.81,2.3
64.59,2.34
64.31,2.38
63.9,2.36
64.47,2.49
64.83,2.64
64.29,2.71
63.86,3.85
63.40344632768362,3.856553672316384
62.50361581920904,3.872033898305085
62.05,3.8855
62.25107344632769,3.8999435028248586
62.64949438202248,3.914494382022472
63.04887005649717,3.9279661016949152
63.44937853107345,3.943502824858757
63.65,3.95
64.7,2.8
64.41,2.54
64.93,1.7899999999999998
65.37,1.67
65.43,1.49
65.72,1.96
66.4,1.5099999999999998
65.72,1.84
64.56,3.5200000000000005
65.5,2.41
65.01,2.59
63.760000000000005,4.01
64.56,2.83
64.78,2.92
64.52,3.4700000000000006
64.52,2.63
64.89,2.38
65.09,2.25
64.39,3.2100000000000004
64.29,3.4400000000000004
64.33,3.25
64.46,3.2299999999999995
63.45,4.3
62.17,3.9785795454545454
62.17,3.34225988700565
65.04,3.0200000000000005
64.47,3.53
65.39,2.18
66.19,1.83
66.11,2.01
66.28,1.83
65.92,2.13
65.84,2.03
65.83,2.03
64.72,4.72
64.1,4.503885714285714
62.51,4.068156424581006
64.32,3.850000000000001
64.21522727272726,4.658011363636363
64.11,5.47
64.11,5.47
64.95,3.62
65.16,4.04
64.18,4.54
63.98,4.485714285714286
64.77,4.43
65.55,2.07
65.73,2.27
63.6,4.06
64.4,2.85
64.23,3.33
64.51,2.33
64.12,3.04
63.19,4.55
63.78,3.59
63.8,4.19
63.67139664804469,4.248324022346369
63.41679775280899,4.3640449438202245
63.16028409090909,4.480511363636364
62.90455056179776,4.596516853932584
62.64870786516853,4.713258426966292
62.52,4.8293333333333335
62.32000000000001,4.945786516853933
62.35,5.06180790960452
63.76,5.12
62.78999999999999,4.989602272727272
63.84,4.86
62.99,5.2
64.25,3.15
64.4,3.41
63.97999999999999,3.37
63.92999999999999,3.640000000000001
64.66,3.04
64.5,3.1600000000000006
66.13,1.96
64.01,4.48
63.64999999999999,4.69
64.97,3.63
63.35,3.1786857142857143
65.88,2.73
65.11,3.54
66.31,1.9
66.31,1.5500000000000005
66.34,2.67
66.36,1.72
67.12,1.65
66.71,1.49
65.91,2.97
66.34,2.07
66.24,2.88
66.63,2.08
65.41,2.32
65.63,2.15
63.91,3.91
63.74,4.89
64.77,3.03
64.55,3.59
63.5,4.019829545454545
64.1,4.45
64.79,3.69
64.55,4.09
65.36,3.1100000000000003
64.51,3.4800000000000004
64.41,4.34
65.26,2.75
65.14,3.1
65.83,1.97
65.95,2.1
66.57,1.77
65.33,2.37
63.53,3.54
65.16,2.35
65.93,2.19
65.4,1.5399999999999998
64.56,3.82
62.72,4.35
63.74,4.76
64.75,3.66
65.07,2.8
63.61999999999999,4.2
65.74,1.98
64.62,2.75
64.01,3.49
64.28,3.17
64.67,3.29
63.59,4.12
64.2,4.4
65.77,2.97
66.34,1.87
67.13,1.38
66.79,0.85
66.94,1.24
66.33,2.0
65.14,3.17
64.77,3.17
64.64,2.22
62.56,3.768212290502793
63.42,5.32
64.06,5.05
64.45,4.29
63.78,4.560284090909091
63.78,4.83
63.43,5.51
63.8,4.11
62.92,4.64
62.120000000000005,3.349884393063584
65.15,2.09
64.8,2.52
65.55,2.32
64.38,3.82
64.96,2.4
65.75,2.22
65.47,1.85
65.22,2.09
64.77,2.73
63.06,4.77
62.87,5.03
62.87,5.03
62.87,5.03
62.87,5.03
62.87,5.03
62.870000000000005,5.03
62.870000000000005,5.03
62.870000000000005,5.03
62.870000000000005,5.03
62.870000000000005,5.03
62.870000000000005,5.03
62.870000000000005,5.03
62.870000000000005,5.03
62.87,5.03
62.870000000000005,5.03
62.870000000000005,5.03
62.87,5.03
62.87,5.03
62.87,5.03
64.09,4.15
64.42,3.75
64.42,3.75
66.33,1.31
66.59,1.39
65.91,1.34
66.15,1.04
66.34,1.53
65.73,2.5
65.31,3.5899999999999994
63.95,4.94
64.7,3.77
64.7,3.77
65.53,2.45
65.18,2.9
65.26,3.27
65.42,2.62
64.93,3.09
64.95,2.89
64.97,3.0500000000000003
65.93,1.87
66.28,1.85
65.44,1.99
66.76,1.73
66.44,1.77
66.0,1.9
66.36,1.69
66.36,1.16
66.5,1.32
66.19,1.42
66.07,1.6
66.58,1.19
66.1,0.94
66.35,0.95
66.18,1.07
65.95,1.26
66.4,1.34
66.22,2.03
65.34,1.8300000000000003
64.37,2.35
64.11,1.8
65.85,1.81
65.6,1.6
64.76,2.54
64.76,2.85
66.55,2.02
64.67,1.49
64.46,2.85
65.85,1.64
65.63,1.54
65.21,1.17
65.47,1.5500000000000005
64.9,1.65
65.38,1.6800000000000002
65.44,1.7300000000000002
65.7,1.77
66.31,1.31
66.19,1.13
65.68,1.95
65.07,3.3100000000000005
62.8,3.3302259887005654
62.61,3.370111111111111
62.53471590909091,3.410227272727273
62.38542372881356,3.45
62.31,3.4896629213483146
62.55,3.5297727272727277
63.42,3.569943502824859
62.38,3.6101129943502825
64.17,3.63
64.01,3.79
64.15,4.12
65.3,2.19
64.41,2.6
65.42,1.8600000000000003
64.59,1.8000000000000005
65.06,1.8000000000000005
64.93,3.41
64.38,1.65
66.68,1.29
66.04,1.28
65.27,1.75
65.54,1.3
65.42,1.65
65.03,1.66
66.82,1.91
64.87,2.03
64.67,2.29
64.07,2.68
64.36,3.41
65.55,2.26
63.47,2.73
64.48,2.5
64.78,2.36
63.23,4.63
63.22999999999999,4.04
63.75,3.61
63.3,4.3
64.12,2.71
63.9,3.41
64.62,2.28
62.38,3.14909604519774
64.17,4.03
63.22,4.94
63.11999999999999,5.03
62.60000000000001,3.86
62.77,5.05
62.76,4.9
65.41,2.24
65.45,1.96
64.39,2.49
63.84,3.1000000000000005
63.74000000000001,1.9
64.45,2.26
64.41,1.67
64.69,1.81
64.59,2.08
64.31,1.89
64.67,1.89
64.64,1.8400000000000003
63.89,1.82
64.41,2.2
65.07,2.1
65.65,1.71
65.33,1.02
66.42,0.99
65.22,1.15
65.32,1.12
65.0,1.14
65.21,1.25
63.76,1.88
63.97999999999999,2.09
64.35,1.7399999999999998
64.09,2.65
64.99,1.51
64.8,1.32
64.57,1.79
64.71,1.5500000000000005
64.66,1.6
64.60764044943821,1.6985955056179776
64.5030459770115,1.8948850574712643
64.3997191011236,2.089325842696629
64.29519553072626,2.285865921787709
64.19111731843576,2.4814525139664805
64.08698324022346,2.677486033519553
63.98254237288136,2.873446327683616
63.87883333333333,3.068611111111111
63.7745251396648,3.26463687150838
63.67061452513967,3.460055865921788
63.567028571428565,3.6550285714285713
63.46224719101124,3.851685393258427
63.41,3.95
64.12,3.6800000000000006
64.93,1.91
66.13,2.11
64.84,2.66
65.03,3.3399999999999994
64.13,4.3
66.31,1.29
65.54,2.96
65.68,2.06
65.47,2.59
65.78,1.71
63.47,4.79
65.82,2.02
65.16,3.8
66.22,2.19
65.97,2.09
66.22,2.08
64.88,3.1000000000000005
65.8,2.32
65.03,3.68
64.74,1.54
65.67,1.52
66.02,1.4699999999999998
65.65,1.97
65.37,2.53
64.98,2.35
64.24,3.82
63.07,4.599829545454546
63.14,5.38
62.86,5.155027932960894
62.83,4.7088636363636365
63.12778409090909,4.261306818181819
63.725842696629215,3.8118539325842695
64.32044444444445,3.365
64.62,3.140000000000001
64.13,4.51
66.07,3.4600000000000004
63.26,4.6
63.77,5.28
63.7038202247191,5.203033707865169
63.571777777777775,5.049222222222222
63.440056497175135,4.896045197740113
63.30788888888889,4.742222222222223
63.175828571428575,4.5884
63.043483146067416,4.434325842696629
62.91232954545455,4.281761363636364
62.78027932960894,4.127877094972067
62.64828571428572,3.9744
62.516420454545454,3.8208522727272727
62.45,3.6669714285714288
63.92,3.59
63.77000000000001,3.9700000000000006
63.085,3.817
62.4,3.512849162011173
64.33,3.36
64.68,2.77
64.97,2.28
64.91,2.54
65.09,1.82
64.46,1.29
64.63,1.24
64.75,1.16
65.38,1.2
65.24,1.03
64.44,1.04
64.79,1.06
64.95,1.02
64.66,1.22
64.98,1.43
64.56,2.15
64.46,1.95
63.18,3.1
64.03,4.53
63.11000000000001,3.17
63.0,3.42
64.04,2.28
62.61999999999999,3.37
64.2,1.93
63.09,2.81
62.83,2.32
64.76,1.73
64.04,3.04
65.78,1.33
64.56,1.63
64.99,1.19
65.61,1.5
64.74,1.41
64.17,1.6
65.07,1.06
64.78,1.71
65.17,1.43
65.33,1.33
65.53,1.44
65.52,2.29
64.43,2.75
63.44,4.17
62.31999999999999,4.89
62.45350282485876,4.823954802259888
62.7226404494382,4.6905617977528085
62.98789772727273,4.559147727272727
63.25581005586593,4.426368715083799
63.39,4.36
63.72,3.4300000000000006
63.8,3.72
64.77,1.63
64.77,1.63
64.77,1.63
64.77,1.63
64.89,1.4899999999999998
65.04,1.38
65.95,1.24
65.89,1.26
65.49,0.86
65.37,0.9200000000000002
65.53,1.05
66.14,0.85
65.58,1.4900000000000002
65.38,2.25
64.76,3.46
65.27,3.25
64.92,2.68
64.73,2.38
64.39,3.86
64.24,2.66
64.48,1.77
64.54,2.26
63.67,3.98
64.84,2.88
64.95,1.8
65.02,1.8000000000000005
63.88999999999999,2.99
64.97,1.41
65.22,1.24
65.41,1.05
65.62,1.16
65.89,1.11
65.31,1.31
66.44,1.03
65.97,0.99
64.62,1.55
63.72,3.2299999999999995
64.05556818181819,2.974659090909091
64.39,2.72
64.77,3.08
63.06,3.21
63.52000000000001,3.9300000000000006
63.64,2.56
63.86000000000001,3.3100000000000005
62.73,4.99
64.86,2.15
65.25,1.64
65.44,1.7
65.46,1.68
65.16,1.64
63.86999999999999,4.32
65.65,1.77
65.88,1.7
65.02,1.66
65.28,2.47
64.84,1.45
66.47,1.19
66.25,1.06
65.42,1.42
65.05,2.65
65.31,1.8400000000000003
65.73,1.74
65.42,1.45
64.72,1.9
64.72,1.9
64.72,1.9
64.72,1.9
64.72,1.9
64.72,1.9
64.72,1.9
64.72,1.9
64.72,1.9
64.72,1.9
